-7.714463,0.078408,0.093011,0.000860,-0.417957,0.009239
-6.816023,0.021493,-0.236106,0.003340,-0.378427,0.009175
-7.877681,0.964859,0.354777,-0.043025,-0.391105,0.009256
-8.309286,1.652928,0.893455,-0.073971,-0.395773,0.009265
-8.546347,2.299561,1.424882,-0.101880,-0.398138,0.009453
-7.782318,1.636368,0.128679,-0.072839,-0.364238,0.009226
-7.936021,2.547857,0.807106,-0.111057,-0.366162,0.009837
-8.046341,3.411724,1.448612,-0.146970,-0.367561,0.009871
-8.131942,4.253408,2.064912,-0.181901,-0.368795,0.010200
-7.473095,3.214491,0.424227,-0.136387,-0.339417,0.009874
-6.909147,2.431270,-0.593296,-0.102062,-0.314377,0.009624
-6.973132,3.285720,0.015179,-0.137201,-0.315255,0.009702
-7.032835,3.950434,0.520151,-0.165722,-0.316100,0.009882
-7.093354,4.426430,0.938490,-0.185392,-0.317597,0.009567
-6.597165,3.801500,0.218114,-0.157999,-0.295616,0.009366
-6.643572,4.187094,0.574060,-0.174977,-0.296673,0.009157
-6.667131,4.497769,0.881955,-0.189486,-0.296614,0.009456
-6.221443,3.976549,0.320295,-0.166637,-0.276893,0.009286
-6.235716,4.190382,0.569678,-0.175867,-0.276682,0.009340
-6.253480,4.419531,0.805427,-0.186502,-0.276796,0.009729
-6.268600,4.598333,1.014221,-0.195095,-0.276894,0.009885
-6.294766,4.708625,1.187779,-0.201719,-0.277699,0.010172
-5.896822,4.278288,0.746658,-0.182853,-0.260108,0.010030
-5.928122,4.315695,0.905139,-0.184493,-0.260875,0.009317
-5.952856,4.388080,1.055350,-0.189016,-0.261902,0.009465
-5.960570,4.421427,1.191789,-0.190945,-0.261774,0.009745
-5.601242,4.054673,0.837312,-0.174865,-0.245902,0.009623
-5.605437,4.089923,0.953522,-0.176920,-0.245804,0.009485
-5.620972,4.170804,1.061016,-0.181815,-0.246413,0.009211
-5.645617,4.198897,1.160821,-0.183281,-0.247290,0.009776
-5.310284,3.877543,0.866933,-0.169191,-0.232488,0.009668
-5.011228,3.606499,0.636289,-0.157306,-0.219296,0.009576
-5.025111,3.636961,0.729228,-0.159459,-0.219680,0.009561
-5.027360,3.638561,0.816828,-0.159992,-0.220023,0.009613
-4.750746,3.400028,0.620341,-0.149532,-0.207826,0.009531
-4.744306,3.383463,0.698440,-0.148560,-0.207339,0.009843
-4.746087,3.425729,0.772238,-0.151215,-0.207099,0.009290
-4.750406,3.453697,0.836023,-0.152688,-0.207320,0.008778
-4.494874,3.239934,0.666430,-0.143314,-0.196056,0.008705
-4.494073,3.254953,0.723688,-0.143975,-0.195912,0.009265
-4.485319,3.279251,0.780777,-0.145886,-0.195349,0.008957
-4.477818,3.298042,0.833604,-0.147422,-0.194858,0.008836
-4.469434,3.274875,0.878302,-0.146218,-0.194675,0.008937
-4.244337,3.070337,0.736819,-0.137247,-0.184755,0.008868
-4.234192,3.061218,0.782194,-0.136763,-0.184211,0.008917
-4.225860,3.071686,0.821382,-0.137460,-0.183573,0.009223
-4.222668,3.074619,0.856399,-0.137471,-0.183772,0.009554
-4.015560,2.901403,0.731366,-0.129875,-0.174646,0.009495
-4.004064,2.926912,0.764521,-0.131224,-0.173786,0.009556
-3.990123,2.919017,0.793659,-0.130820,-0.172944,0.008924
